CDF,DateSolde,Solde
1001,2020-04-02,-1618683.72
1002,2020-04-02,-324202.24
1004,2020-04-02,-768574.76
1005,2020-04-02,-774744.8
1006,2020-04-02,-1044889.86
1007,2020-04-02,-708802.9
1008,2020-04-02,-2285903.23
1009,2020-04-02,-172878.16
1010,2020-04-02,-715069.45
1011,2020-04-02,-427058.1
1012,2020-04-02,-1467303.72
1013,2020-04-02,-211919.94
1014,2020-04-02,-626772.57
1015,2020-04-02,-1491980.82
1016,2020-04-02,-420478.77
1018,2020-04-02,-684781.53
1019,2020-04-02,-563247.27
1023,2020-04-02,-518052.1
1024,2020-04-02,-993774.8
1025,2020-04-02,-1252677.9
1026,2020-04-02,-708009.51
1027,2020-04-02,-57633.9
1029,2020-04-02,-50520.24
1030,2020-04-02,-1032200.91
1031,2020-04-02,-345595.32
1101,2020-04-02,-1746125.05
1102,2020-04-02,-598630.49
1201,2020-04-02,-1314381.42
1301,2020-04-02,-1408857.89
1501,2020-04-02,-998032.34
2101,2020-04-02,-1445976.12
2102,2020-04-02,-1570497.25
2103,2020-04-02,-874495.0
2201,2020-04-02,-2943109.52
2202,2020-04-02,-1288176.7
2203,2020-04-02,-595845.43
2204,2020-04-02,-1151983.68
2205,2020-04-02,-905234.85
2801,2020-04-02,-343768.57
2802,2020-04-02,-582307.0
3201,2020-04-02,-953219.16
4101,2020-04-02,-339542.18
4102,2020-04-02,-297684.63
4701,2020-04-02,-473166.22
5001,2020-04-02,-533276.3
5002,2020-04-02,-243740.5
5003,2020-04-02,-511805.83
5004,2020-04-02,-250115.98
5501,2020-04-02,-216564.04
5701,2020-04-02,-320803.81
6101,2020-04-02,-703475.47
7001,2020-04-02,-669026.18
9001,2020-04-02,-150804.19
9002,2020-04-02,-332953.45
9003,2020-04-02,-1537735.54
9004,2020-04-02,-457471.9
9005,2020-04-02,-88077.7
9007,2020-04-02,-77396.97
9008,2020-04-02,-488541.73
9501,2020-04-02,-212030.39
9502,2020-04-02,-579872.9
9601,2020-04-02,-75079.08
10101,2020-04-02,-849950.21
10102,2020-04-02,-703689.16
10103,2020-04-02,-1286084.09
10401,2020-04-02,-85795.47
11001,2020-04-02,-1511844.8
11002,2020-04-02,-202208.76
12101,2020-04-02,-659367.97
12102,2020-04-02,-269078.36
12201,2020-04-02,-476283.52
13001,2020-04-02,-2731308.13
15001,2020-04-02,-345678.28
15002,2020-04-02,-355992.54
17001,2020-04-02,-399081.83
17002,2020-04-02,-538838.68
17003,2020-04-02,-294922.74
17004,2020-04-02,-710208.77
17005,2020-04-02,-420393.8
17006,2020-04-02,-476139.92
17007,2020-04-02,-518440.37
17008,2020-04-02,-1590183.03
17009,2020-04-02,-453134.85
17010,2020-04-02,-1174165.67
17011,2020-04-02,-546372.18
17012,2020-04-02,-163777.47
17013,2020-04-02,-340422.1
17014,2020-04-02,-274362.59
17015,2020-04-02,-239476.62
17601,2020-04-02,-260134.01
17701,2020-04-02,-145800.04
17901,2020-04-02,-64910.73
18601,2020-04-02,-7632.8
19001,2020-04-02,-161134.74
19002,2020-04-02,-61183.19
19003,2020-04-02,-60735.91
19501,2020-04-02,-353609.21
20101,2020-04-02,-660216.54
20102,2020-04-02,-438823.87
21001,2020-04-02,-1849177.18
21002,2020-04-02,-236180.12
21801,2020-04-02,-678537.77
24001,2020-04-02,-841365.09
24002,2020-04-02,-757033.94
26001,2020-04-02,-1179371.65
27001,2020-04-02,-3571382.73
27003,2020-04-02,-483593.01
27004,2020-04-02,-207125.59
27005,2020-04-02,-590456.01
27006,2020-04-02,-921996.42
27007,2020-04-02,-1315994.58
27009,2020-04-02,-516020.85
27010,2020-04-02,-1082685.59
27011,2020-04-02,-353075.97
27012,2020-04-02,-59581.77
27013,2020-04-02,-349990.78
27014,2020-04-02,-930871.86
27015,2020-04-02,-37963.07
27016,2020-04-02,-137092.83
27017,2020-04-02,-1194944.14
27018,2020-04-02,-353481.25
27019,2020-04-02,-296109.57
27020,2020-04-02,-286382.98
27021,2020-04-02,-627488.9
27022,2020-04-02,-865090.79
27023,2020-04-02,-259601.32
27024,2020-04-02,-761786.78
27025,2020-04-02,-373111.23
27026,2020-04-02,-166271.09
27028,2020-04-02,-381975.47
27029,2020-04-02,-235432.22
27030,2020-04-02,-181512.65
27031,2020-04-02,-928515.46
27032,2020-04-02,-652136.61
27033,2020-04-02,-641786.73
27035,2020-04-02,-502062.13
27036,2020-04-02,-589905.24
27037,2020-04-02,-750198.56
27038,2020-04-02,-533327.78
28101,2020-04-02,-1057044.84
28102,2020-04-02,-327584.9
28103,2020-04-02,-374899.36
32001,2020-04-02,-2078370.66
32002,2020-04-02,-964223.63
33001,2020-04-02,-887910.49
33002,2020-04-02,-432762.27
33003,2020-04-02,-126672.01
33004,2020-04-02,-504662.9
33005,2020-04-02,-560818.89
33006,2020-04-02,-519781.44
33007,2020-04-02,-74641.85
33008,2020-04-02,-316261.03
33009,2020-04-02,-244178.43
33010,2020-04-02,-444091.14
33011,2020-04-02,-1392038.1
33012,2020-04-02,-156247.93
33013,2020-04-02,-126958.53
33014,2020-04-02,-26434.91
33201,2020-04-02,-307377.69
33601,2020-04-02,-755151.01
34101,2020-04-02,-560797.07
34601,2020-04-02,-473184.55
34602,2020-04-02,-127756.14
34901,2020-04-02,-525111.42
34902,2020-04-02,-183658.22
35301,2020-04-02,-1392924.79
36001,2020-04-02,-628253.57
36002,2020-04-02,-553841.94
36501,2020-04-02,-89579.71
37401,2020-04-02,-822681.06
38001,2020-04-02,-2377745.74
38002,2020-04-02,-935932.54
38801,2020-04-02,-522262.46
39101,2020-04-02,-758299.39
40001,2020-04-02,-1453278.79
40002,2020-04-02,-579480.33
40003,2020-04-02,-630896.76
40004,2020-04-02,-448542.34
40007,2020-04-02,-51408.44
40009,2020-04-02,-762927.71
40010,2020-04-02,-285615.09
40501,2020-04-02,-217077.88
41101,2020-04-02,-42536.52
41102,2020-04-02,-339495.38
42001,2020-04-02,-630507.19
42501,2020-04-02,-315719.13
42502,2020-04-02,-650583.84
43001,2020-04-02,-900343.97
43002,2020-04-02,-1189531.37
43003,2020-04-02,-406396.15
43004,2020-04-02,-395957.48
43005,2020-04-02,-1883242.08
43006,2020-04-02,-1908857.05
43007,2020-04-02,-910699.46
45001,2020-04-02,-219244.85
45002,2020-04-02,-545697.92
45003,2020-04-02,-621804.2
45004,2020-04-02,-928537.36
45005,2020-04-02,-455186.02
45006,2020-04-02,-171494.58
45007,2020-04-02,-595438.91
45008,2020-04-02,-785280.86
45009,2020-04-02,-688900.99
45010,2020-04-02,-262068.51
